b'1.',"b'The Law of Contract (Amendment) Bill, 2019'",b'Waititu Francis Munyua',b'No. 1 of 2019',b'28/01/19',b'10/02/19',b'3',b'13/02/19',b'26/6/20193/7/2019Committee on 18/09/19',b'18/09/19',b'Passed',b'-'
b'38',"b'The Kenya Coast Guard Service Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 45 of 2017',b'22/11/17',b'05/12/17',b'173',b'14/02/18',b'25/04/1807/06/1812/06/18Committee stage31/07/181/08/18',b'01/08/18',b'Passed',b'-'
b'39',"b'The Irrigation Bill, 2017'","b'Aden Duale, Majority Leader, National Assembly'",b'No. 46 of 2017',b'01/12/17',b'14/12/17',b'183',b'14/02/18',b'10/04/1811/04/18Committee stage18/04/1819/04/18',b'19/04/18',"b'Passed, Forwarded to the Senate for consideration14/05/18'",b'-'
b'40',"b'The Kenya Roads Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 47 of 2017',b'06/12/17',b'14/12/17',b'184',b'14/12/17',b'12/02/1822/02/1828/02/18Committee stage18/04/1819/04/18',b'19/04/18',"b'Passed, Forwarded to the Senate for consideration14/05/18'",b'-'
b'41',"b'The Petroleum Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 48 of 2017',b'06/12/17',b'19/12/17',b'186',b'14/02/18',b'12/04/1817/04/18Committee stage25/04/1807/06/1812/06/18',b'12/06/18',b'Passed; Forwarded to the Senate for consideration04/07/18',b'-'
b'42',"b'The County Pension Scheme Bill, 2017'","b'Muriuki Njagagua, Member of Parliament'",b'No. 49 of 2017',b'29/12/2017',b'11/01/18',b'193',b'14/02/18',b'14/02/18',b'-',b'-',b'-'
b'43',"b'The Energy Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 50 of 2017',b'29/12/2017',b'11/01/18',b'194',b'11/01/18',b'11/04/1812/04/18Committee Stage19/04/1822/04/1824/04/1825/04/1807/06/18',b'07/06/18',b'Passed; Forwarded to the Senate for consideration on 21/06/18',b'-'
b'44',"b'The Public Finance Management (Amendment) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 51 of 2017',b'29/12/2017',b'11/01/18',b'195',b'14/02/18',b'-',b'-',b'-',b'-'
b'45',"b'The Public Private Partnerships (Amendment) Bill, 2017'","b'Aden Duale, Leader of Majority Party'",b'No. 52 of 2017',b'29/12/2017',b'11/01/18',b'196',b'14/02/18',b'17/04/1818/04/18Committee Stage26/07/1831/07/18',b'31/07/18',b'Passed; Forwarded to the Senate for Consideration on 29/08/18',b'-'
b'1.',"b'The Kenya National Examination Council (Amendment) Bill, 2016'","b'Chris Wamalwa, Member of Parliament'",b'-',b'15/01/2016',b'-',b'2',b'-',b'-',b'-',b'-',b'-'
b'2.',"b'The Political Parties (Amendment) Bill, 2016'","b'Samuel Chepkonga, Chairperson, Justice and Legal Affairs Committee'",b'NA Bill No. 2 of 2016',b'05/02/2016',b'28/01/2016',b'10',b'16/02/2016',b'17/03/2016; 30/03/2016; 12/04/2016. Committee stage: 24/4/2016',b'21/04/2016',b'Passed to be forwarded to the Senate for consideration',b'-'
b'3.',"b'The Division of Revenue Bill, 2016'","b'Aden Duale, Leader of Majority Party'",b'NA Bill No. 4 of 2016',b'09/03/2015',b'15/03/2016',b'27',b'16/03/2016',b'23/03/2016; 24/03/2016. Committee stage: 29/03/2016',b'30/03/2016',b'Passed; forwarded to the Senate for consideration on 30/03/2016',b'-'
b'4.',b'The Anti-Doping Bill',"b'Aden Duale, Leader of Majority Party'",b'NA Bill No. 6 of 2016 [GP No. 4A]',b'10/03/2016',b'23/03/2016',b'27A',b'30/03/2016',b'12/04/2016; 13/04/2016. Committee stage: 19/04/2016',b'19/04/2016',b'Passed',b'22/04/2016'
b'5.',"b'The Vetting of Judges and Magistrates (Amendment) Bill, 2016'","b'Samuel Chepkonga, Chairperson, Committee on Justice and Legal Affairs'",b'-',b'21/03/2016',b'-',b'33',b'-',b'-',b'-',b'-',b'-'
b'6.',"b'The Constitution of Kenya (Amendment) Bill, 2016'","b'Mithika Linturi, Member of Parliament'",b'NA Bill No. 8 of 2016 [GP No. 6]',b'24/03/2016',b'06/04/2016',b'35',b'20/04/2016',b'06/04/2016-',b'-',b'-',b'-'
b'7.',"b'The Value Added Tax (Amendment) Bill, 2016'","b'Wafula Wamunyinyi, Member of Parliament'",b'NA Bill No. 7 of 2016',b'04/04/2016',b'17/04/2016',b'40',b'20/04/2016',b'-',b'-',b'-',b'-'
b'8.',"b'The Kenyatta Mausoleum Bill, 2016'","b'Muthomi Njuki, Member of Parliament'",b'NA Bill No. 11 of 2016 [GP No. 8]',b'11/04/2016',b'24/04/2016',b'46',b'27/04/2016',b'-',b'-',b'-',b'-'
b'9.',"b'The Public Benefits Organizations (Amendment) Bill, 2016'","b'Agostinho Neto, Member of Parliament'",b'NA Bill No. 9 of 2016',b'11/04/2016',b'24/04/2016',b'47',b'27/04/2016',b'-',b'-',b'-',b'-'
b'10.',"b'The Hydrologists Bill, 2016'","b'Aden Duale, Leader of the Majority Party'",b'NA Bill No. 10 of 2016',b'11/04/2016',b'24/04/2016',b'48',b'27/04/2016',b'-',b'-',b'-',b'-'
b'11.',"b'The Civil Aviation (Amendment) Bill, 2016'","b'Aden Duale, Leader of the Majority Party'",b'-',b'18/04/2016',b'-',b'52',b'-',b'-',b'-',b'-',b'-'
b'12.',"b'The Witness Protection (Amendment) Bill, 2016'","b'Aden Duale, Leader of the Majority Party'",b'-',b'18/04/2016',b'-',b'53',b'-',b'-',b'-',b'-',b'-'
b'13.',"b'The Penal Code (Amendment) Bill, 2016'","b'Johnson Sakaja, Member of Parliament'",b'-',b'18/04/2016',b'-',b'54',b'-',b'-',b'-',b'-',b'-'
b'14',"b'The Supplementary Appropriation Bill, 2016'","b'Aden Duale, Leader of the Majority Party'",b'-',b'29/04/2016',b'-',b'62',b'-',b'-',b'-',b'-',b'-'
b'15',"b'The Anti-Doping (Amendment) Bill, 2016'","b'Aden Duale, Leader of the Majority Party'",b'',b'19/05/2016',b'-',b'74',b'-',b'-',b'-',b'-',b'-'
b'16',"b'The Independent Electoral and Boundaries Commission (Amendment) Bill, 2016'","b'Samuel Chepkonga, Chairperson, Justice and Legal Affairs Committee'",b'-',b'02/06/2016',b'-',b'78',b'-',b'-',b'-',b'-',b'-'
b'17',"b'The Constitution of Kenya (Amendment) Bill, 2016'","b'Samuel Chepkonga, Member of Parliament'",b'-',b'02/06/2016',b'-',b'79',b'-',b'-',b'-',b'-',b'-'
b'18',"b'The Information Communication Technology Practitioners Bill, 2016'","b'Aden Duale, Leader of the Majority Leader'",b'-',b'07/06/2016',b'-',b'84',b'-',b'-',b'-',b'-',b'-'
b'19',"b'The Finance Bill, 2016'","b'Benjamin Langat, Chairperson, Committee on Finance, Planning and Trade'",b'-',b'08/06/2016',b'-',b'86',b'-',b'-',b'-',b'-',b'-'
b'20',"b'The Insurance (Amendment) Bill, 2016'","b'Aden Duale, Leader of the Majority Party'",b'-',b'24/06/2016',b'-',b'100',b'-',b'-',b'-',b'-',b'-'
b'21',"b'The Refugees Bill, 2016'","b'Agostinho Neto, Member of Parliament'",b'-',b'24/06/2016',b'-',b'101',b'-',b'-',b'-',b'-',b'-'
b'22',"b'The Clinical Officers (Training, Registration and Licensing) Bill, 2016'","b'Leonard Kipkosgei Sang, Member of Parliament'",b'-',b'08/07/2016',b'-',b'114',b'-',b'-',b'-',b'-',b'-'
b'23',"b'The Contempt of Court Bill, 2016'","b'Aden Duale, Leader of the Majority Party'",b'-',b'22/07/2016',b'-',b'120',b'-',b'-',b'-',b'-',b'-'
b'24',"b'The Sexual Offences (Amendment) Bill, 2016'",b'Florence Mutua',b'-',b'22/07/2016',b'-',b'121',b'-',b'-',b'-',b'-',b'-'
b'25',"b'The National Authority for the Campaign Against Alcohol and Drug Abuse (Amendment) Bill, 2016'","b'Ferdinard Waititu, Member of Parliament'",b'-',b'11/08/2016',b'-',b'133',b'-',b'-',b'-',b'-',b'-'
b'26',"b'The Public Service Commission Bill, 2016'","b'Aden Duale, Leader of the Majority Party'",b'-',b'17/08/2016',b'-',b'136',b'-',b'-',b'-',b'-',b'-'
b'27',"b'The Elections Law (Amendment) Bill, 2016'","b'Francis Nyenze,Leader of Minority Party.Aden Duale, Leader of Majority Party'",b'-',b'26/08/2016',b'-',b'141',b'-',b'-',b'-',b'-',b'-'
b'28',"b'The Kenya National Examination Council (Amendment) Bill, 2016'","b'Mr Agoi Alfred Masadia, Member of Parliament'",b'-',b'07/09/2016',b'-',b'142',b'-',b'-',b'-',b'-',b'-'
b'29',"b'The Land Value Index Laws (Amendment) Bill, 2016'","b'Aden Aduale, Leader of Majority Party'",b'-',b'23/09/2016',b'-',b'166',b'-',b'-',b'-',b'-',b'-'
b'30',"b'The Occupational Therapists (Training, Registration and Licensing) Bill, 2016'","b'Leonard Kipkosgei Sang, Member of Parliament'",b'-',b'23/09/2016',b'-',b'167',b'-',b'-',b'-',b'-',b'-'
b'31',"b'The National Police Service (Amendment) Bill, 2016'","b'A. S. Nassir,Member of Parliament.'",b'-',b'23/10/2016',b'-',b'170',b'-',b'-',b'-',b'-',b'-'
b'32',"b'The Livestock and Livestock Products Development and Marketing Bill, 2016'","b'Abdinoor Mohamed Ali, Member of Parliament'",b'-',b'23/09/2016',b'-',b'178',b'-',b'-',b'-',b'-',b'-'
b'35',"b'The Betting, Lotteries and Gaming (Amendment) Bill, 2016'","b'Jakoyo Midiwo, Member of Parliament'",b'-',b'16/11/2016',b'-',b'183',b'-',b'-',b'-',b'-',b'-'
b'34',"b'The Movable Property Security Rights Bill, 2016'","b'Aden Duale, Leader of Majority Party'",b'-',b'16/11/2016',b'-',b'184',b'-',b'-',b'-',b'-',b'-'
b'35',"b'The Statute Law (Miscellaneous Amendments) Bill, 2016'","b'Aden Duale, Leader of Majority Party'",b'-',b'11/11/2016',b'-',b'185',b'-',b'-',b'-',b'-',b'-'
b'36',"b'The Prevention of Torture Bill, 2016'","b'Aden Duale, Leader of Majority Party'",b'-',b'16/11/2016',b'',b'187',b'',b'-',b'-',b'-',b'-'
b'37',"b'The Statute Law (Miscellaneous\xc2\xa0 Amendments) (No.2) Bill, 2016'","b'Aden Duale,Leader of the Majority Party.'",b'-',b'11/11/2016',b'-',b'188',b'-',b'-',b'-',b'-',b'-'
b'38',"b'The Cancer Prevention and Control (Amendment) Bill, 2016'","b'Gladys Wanga, Member of Parliament'",b'-',b'09/12/2016',b'-',b'191',b'-',b'-',b'-',b'-',b'-'
b'1. ',"b' The Constitution of Kenya (Amendment) Bill, 2015'","b' David Ouma Ochieng, Member of Parliament'",b'-',b'2',b' 09/01/2015',b' 24/01/2015',b' 11/02/2015',b' 05/08/2-1525/08/2015Bill awaiting(Bill lost)',b' -',b'-',b' -'
b'2.',"b'The Kenya National Examination Council (Amendment) Bill, 2015'","b'Emmanuel Wangwe, Member of Parliament'",b'-',b'7',b'26/01/2015',b'10/02/2015',b'11/02/2015',b'22/04/201529/04/201530/04/2015Committee StagePending',b'15/10/2015Passed',b'-',b'-'
b'3.',"b'The Public Finance Management (Amendment) Bill, 2015'","b'Aden Duale, Leader of Majority Party'",b'NA Bill No. 04 of 2015',b'15',b'12/02/2015',b'26/02/2015',b'04/03/2015',b'-',b'-',b'-',b'-'
b'4.',"b'The Political Parties (Amendment) Bill, 2015'","b'Chris W. Wamalwa, Member of Parliament'",b'NA Bill No. 05 of 2015',b'16',b'12/02/2015',b'26/02/2015',b'04/03/2015',b'01/07/201508/07/201509/07/2015Committee stage:09/03/2016',b'10/03/2016',b'Passed',b'-'
b'5. ',"b' The Special Economic Zones Bill, 2015'","b' Aden Duale, Leader of Majority'",b'-',b'18',b' 17/02/2015',b' 03/03/2015',b' 04/03/2015',b' 05/08/201506/08/2015Committee stage25/08/2015',b' 26/08/2015',b'Passed',b' Assented to'
b'6. ',"b' The Engineering Technologists and Technicians Bill, 2015'","b' Cecilia Ngetich, Member of Parliament'",b'NA Bill No. 07 of 2015',b'20',b' 27/02/2015',b' 13/03/2015',b'18/03/2015',b'26/08/201530/09/201501/10/2015Pending',b' -',b'24/06/2015Pending08/10/2015',b'undefined'
b'7. ',"b' The National Youth Employment Authority Bill, 2015'","b' Johnstone Sakaja, Member of Parliament'",b'NA Bill No. 08 of 2015',b'23',b' 06/03/2015',b' 20/03/2015',b' 02/04/2015',"b"" 17/6/2015; 24/06/2015Committee stage07/10/2015 24/2/2016 (President's reservations)""","b""8/10/2015 25/2/2016 (President's reservations)""",b'Passed Title amended as shown; Presidential Reservations considered and PASSED on 25/2/2016',b' -'
b'8.',"b'The Higher Education Loans Board (Amendment) Bill, 2015'","b'Irungu Kangata, Member of Parliament'",b'-',b'25',b'06/03/2015',b'20/03/2015',b'02/04/2015',b'29/04/201510/06/2015Committee Stage19/08/201517/11/2015',b'19/08/2015',b'-',b'-'
b'9.',"b'The Fair Administrative Action Bill, 2015'","b'Aden Duale, Leader of the Majority Party'",b'-',b'26',b'13/03/2015',b'19/03/2015',b'19/03/2015',b'15/04/201516/04/2015',b'23/04/201526/04/2015',b'Passed',b'-'
b'10.',"b'The Division of Revenue Bill, 2015'","b'Mutava Musyimi, Chairperson, Budget and Appropriations Committee'",b'NA Bill No. 9 of 2015',b'28',b'18/03/2015',b'19/03/2015',b'19/03/2015',b'25/03/2015Committee Stage25/03/2015',b'25/03/201521/04/2015',b'Passed',b'04/06/2015'
b'11.',"b'The Warehouse Receipts System Bill, 2015'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'NA Bill No. 34 of 2015',b'34',b'27/03/2015',b'09/04/2015',b'16/04/2015',b'10/3/2016 (ongoing)',b'-',b'-',b'-'
b'12.',"b'The Business Registration Service Bill, 2015'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'-',b'42',b'17/04/2015',b'30/04/2015',b'30/04/2015',b'19/08/201520/08/2015Committee stage25/08/2015',b'26/08/2015Passed',b'-',b'-'
b'13.',"b'The Health Bill, 2015'","b'Aden Duale, Leader of the Majority Party'",b'NA Bill No. 14 of 2015',b'44',b'17/04/2015',b'30/04/2015',b'30/04/2015',b'29/10/201510/11/201524/11/2015Committee stage 17/3/2015 (ongoing)',b'-',b'-',b'-'
b'14.',"b'The Insolvency Bill, 2015'","b'Aden Duale, Leader of the Majority Party'",b'-',b'46',b'24/04/2015',b'07/05/2015',b'03/06/2015',b'04/08/201505/08/2015Committee stage19/08/2015',b'20/08/2015Passed',b'-',b'Assented to'
b'15.',"b'The Energy (Amendment) Bill, 2015'","b'Abdulswamad Nassir, Member of Parliament'",b'-',b'47',b'24/04/2015',b'-',b'-',b'-',b'-',b'-',b'-'
b'16.',"b'The Agriculture, Fisheries and Food Authority (Amendment) Bill 2015'","b'Silas K. Tiren, Member of Parliament'",b'NA Bill No. 17of 2015',b'48',b'24/04/2015',b'07/05/2015',b'11/06/2015',b'14/10/201515/10/2015Committee stage 2/3/2016',b'2/3/2016',b'Passed; forwarded to Senate for consideration.',b'-'
b'17.',"b'The Constitution of Kenya (Amendment) Bill, 2015'","b""Samuel Chepkong'a, Chairperson, Justice and Legal Affairs Committee.""",b'NA Bill No. 18 of 2015',b'50',b'30/04/2015',b'30/04/2015',b'30/04/2015',b'-',b'-',b'-',b'-'
b'18.',"b'The Two-Third Gender Rule Laws (Amendment) Bill, 2015'","b'Samuel Chepkonga, Chairperson, Justice and Legal Affairs Committee'",b'NA Bill No. 20 of 2015',b'52',b'30/04/2015',b'30/04/2015',b'30/04/2015',b'-',b'-',b'-',b'-'
b'19.',"b'The Controller of Budget Bill, 2015'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'NA Bill No. 53 of 2015',b'53',b'30/04/2015',b'13/05/2015',b'11/06/2015',b'17/2/2016; 24/2/2016; 1/3/2016. Committee stage; Pending',b'-',b'-',b'-'
b'20.',"b'The Companies Bill, 2015'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'NA Bill No. 14 of 2015',b'54',b'05/05/2015',b'18/05/2015',b'03/06/2015',b'08/07/201509/07/2015(Ongoing)',b'18/08/2015',b'Passed',b'Assented to'
b'21.',"b'The Supplementary Appropriation Bill, 2015'","b'Mutava Musyimi, Chairperson, Budget and Appropriations Committee'",b'-',b'55',b'06/05/2015',b'19/05/2015',b'03/06/2015',b'03/06/2015',b'03/06/2015',b'Passed',b'-'
b'22.',"b'The Health Records and Information Managers Bill, 2015'","b'Neto Agostinho, Member of Parliament'",b'-',b'70',b'29/05/2015',b'11/06/2015',b'17/06/2015',b'14/10/2015OngoingCommittee stage16/3/2016',b'16/3/2016',b'Passed',b'-'
b'23.',"b'The\xc2\xa0Companies and Insolvency Legislation (Consequential Amendments) Bill, 2015'","b'Aden Duale, Leader of Majority Party'",b'-',b'72',b'29/05/2015',b'11/06/2015',b'16/06/2015',b'05/08/201506/08/2015Committee stage27/08/2015',b'27/08/2015Passed',b'-',b'Assented to'
b'24.',"b'The Kenya Roads Bill, 2015'","b'Aden Duale, Leader of Majority Party'",b'NA Bill No. 26 of 2015',b'77',b'05/06/2015',b'18/06/2015',b'01/07/2015',b'-',b'-',b'-',b'-'
b'25.',"b'The Finance Bill, 2015'","b'Benjamin Langat, Chairperson, Committee on Finance, Planning and Trade'",b'-',b'78',b'11/06/2015',b'24/06/2015',b'25/06/2015',b'18/08/201519/08/2015Committee stage27/08/2015',b'27/08/2015Passed',b'-',b'Assented to'
b'26.',"b'The Excise Duty Bill, 2015'","b'Aden Duale, Leader of Majority Party'",b'-',b'79',b'11/06/2015',b'24/06/2015',b'25/06/2015',b'20/08/201525/08/2015Committee stage27/08/2015',b'27/08/2015Passed',b'-',b'Assented to'
b'27.',"b'The Tax Procedures Bill, 2015'","b'Aden Duale, Leader of Majority Party'",b'-',b'80',b'11/06/2015',b'24/06/2015',b'2/3/2015',b'-',b'-',b'-',b'-'
b'28.',"b'The Miscellaneous Fees and Levies Bill, 2015'","b'Aden Duale, Leader of Majority Party'",b'NA Bill No. 30 of 2015',b'81',b'11/06/2015',b'24/06/2015',b'25/06/2015',b'-',b'-',b'-',b'-'
b'29.\xc2\xa0 ',"b'The Betting, Lotteries and Gaming (Amendment) Bill, 2015'","b'Aden Duale, Leader of Majority Party'",b'-',b'82',b'11/06/2015',b'24/06/2015',b'25/06/2015',b'-',b'-',b'-',b'-'
b'30.',"b'The Appropriation Bill, 2015'","b'Mutava Musyimi, Chairperson, Budget and Appropriations Committee'",b'-',b'86',b'17/06/2015',b'23/06/2015',b'23/06/2015',b'24/06/2015Committee Stage;24/06/2015',b'24/06/2015Passed',b'-',b'Assented to'
b'31.',"b'The Ethics and Anti-Corruption Commission (Amendment)Bill, 2015'","b""Samuel Chepkong'a, Chairperson, Justice and Legal Affairs Committee""",b'-',b'87',b'19/06/2015',b'23/06/2015',b'25/06/2015',b'08/07/201509/07/2015Committee Stage09/07/2015',b'9/07/20015Passed',b'-',b'Assented to'
b'32.',"b'The Supplementary Appropriation Bill (No. 2), 2015'","b'Hon. Mutava Musyimi, Chairperson, Budget and Appropriations Committee'",b'-',b'89',b'25/06/2015',b'25/06/2015',b'25/06/2015',b'25/06/2015Committee stage25/06/2015',b'25/06/2015',b'-',b'Assented to'
b'33.',"b'The Legal Aid Bill, 2015'","b'Aden Duale, Leader of the Majority Party, National Assembly'",b'NA Bill No. 35 of 2015',b'90',b'26/06/2015',b'09/07/2015',b'28/07/2015',b'10/2/2016; 17/2/2016; 18/2/2016. Committee stage: 3/3/2016',b'3/3/2016',b'Passed',b'-'
b'34.',"b'The Access to Information Bill, 2015'","b'Priscilla Nyokabi, Member of Parliament'",b'NA Bill No. 36 of 2015',b'94',b'30/06/2015',b'13/07/2015',b'19/08/2015',b'19/11/201524/11/2015Committee StagePending',b'-',b'-',b'-'
b'35.',"b'The Biomedical Engineers Bill, 2015'","b'Stephen Mutinda Mule, Member of Parliament'",b'NA Bill No. 37 of 2015',b'97',b'03/07/2015',b'16/07/2015',b'29/07/2015',b'10/2/2016 (ongoing)',b'-',b'',b'-'
b'36.',"b'The\xc2\xa0Constitution of Kenya (Amendment) (No. 4) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 38 of 2015',b'112',b'24/07/2015',b'30/07/2015',b'30/07/2015',b'22/3/2016; 24/3/2016; (ongoing)',b'-',b'-',b'-'
b'37.',"b'The Kenya Regiment (Territorial Force) (Repeal) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 39 of 2015',b'113',b'24/07/2015',b'06/08/2015',b'18/08/2015',b'18/8/2015',b'-',b'-',b'-'
b'38.',"b'The Kenya Defence Forces Amendment Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 41 of 2015',b'115',b'24/07/2015',b'06/08/2015',b'18/08/2015',b'-',b'-',b'-',b'-'
b'39.',"b'The\xc2\xa0Election Laws Amendment Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill -No. 42 of 2015',b'125',b'06/08/2015',b'19/08/2015',b'Awaiting',b'-',b'-',b'-',"b'To be read a 1st Time only upon enactment of the Constitution of Kenya (Amendment)(No. 4) Bill, 2015'"
b'40.',"b'The Seeds and Plant Varieties (Amendment) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 43 of 2015',b'127',b'11/08/2015',b'24/08/2015',b'27/08/2015',b'-',b'-',b'-',b'-'
b'41.',"b'The\xc2\xa0Petroleum (Exploration Development and Production) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 44 of 2015',b'128',b'11/08/2015',b'18/08/2015',b'19/08/2015',b'22/10/201527/10/201529/10/2015 10/11/2015Committee stage: Pending',b'-',b'-',b'-'
b'42.',"b'The\xc2\xa0Community Land Bill, 2015'","b'Aden Duale, Leader of the Majority Party, National Assembly of Kenya.'",b'NA Bill No. 45 of 2015',b'129',b'11/08/2015',b'18/08/2015',b'19/08/2015',b'1/3/2016; 2/3/2016; 3/3/2016; 8/3/2016. Committee stage 17/3/2016 (ongoing)',b'-',b'-',b'-'
b'43.',"b'The\xc2\xa0Physical Planning Bill, 2015'","b'Aden Duale, Leader of the Majority Party, National Assembly of Kenya.'",b'NA Bill No. 46 of 2015',b'130',b'11/08/2015',b'18/08/2015',b'19/08/2015',b'19/11/201524/11/2015Committee Stage3/12/2015',b'16/12/2015',b'Passed; forwarded to Senate for consideration',b'-'
b'44.',"b'The\xc2\xa0High Court Organization and Administration Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'-',b'131',b'11/08/2015',b'18/08/2015',b'19/08/2015',b'07/10/201508/10/201513/10/2015Pending',b'17/11/2015',b'-',b'Assented to'
b'45.',"b'The Protection of Traditional Knowledge and Traditional Cultural Expressions Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 48 of 2015',b'132',b'11/08/2015',b'11/08/2015',b'19/08/2015',b'12/11/201524/11/2015Committee StagePending',b'16/3/2016',b'Passed forwarded to the Senate for consideration',b'-'
b'46.',"b'The Forest Conservation and Management Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 49 of 2015',b'133',b'11/08/2015',b'18/08/2015',b'19/08/2015',b'3/12/2015; 16/12/2015Committee stage: 16/3/2016; 17/3/2016',b'17/3/2016',b'Passed forwarded to the Senate for consideration',b'-'
b'47.',"b'The Energy Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 50 of 2015',b'134',b'11/08/2015',b'18/08/2015',b'20/08/2015',b'8/3/2015; 9/3/2016; 10/3/2016. Committee stage: Pending',b'17/3/2016',b'-',b'-'
b'48.',"b'The Small Claims Court Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 51 of 2015',b'135',b'11/08/2015',b'18/08/2015',b'19/08/2015',b'13/10/201514/10/2015Commitee stage:',b'18/11/2015 25/2/2016',b'Passed; Presidential Memorandum',b'Assented to'
b'49.',"b'The Court of Appeal (Organization and Administration) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'-',b'136',b'11/08/2015',b'18/08/2015',b'19/08/2015',b'15/10/2015Ongoing21/10/201522/10/2015Committee Stage17/11/2015',b'18/11/2015',b'-',b'Assented to'
b'50.',"b'The Election Laws (Amendment)(No. 2) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 53 of 2015',b'138',b'18/08/2015',b'31/08/2015',b'14/10/2015',b'-',b'-',b'-',b'-'
b'51.',"b'The Natural Resources (Classes of Transactions Subject to Ratification) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 54 of 2015',b'139',b'18/08/2015',b'31/08/2015',b'14/10/2015',b'1/12/2015; 16/12/2015; 10/2/2016; 11/2/2016. Committee stage: 8/3/2016',b'9/3/2016',b'Passed forwarded to the Senate for consideration',b'-'
b'52.',"b'The\xc2\xa0Land Laws (Amendment) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 55 of 2015',b'140',b'18/08/2015',b'26/08/2015',b'27/08/2015',b'9/3/2016; 10/3/2016; 15/3/2016; 24/3/2016. (ongoing)',b'-',b'',b'-'
b'53.',"b'The Constitution of Kenya (Amendment)(No.5) Bill, 2015'","b'Nicolas Gumbo, Member of Parliament'",b'NA Bill No. 56 of 2015',b'153',b'14/09/2015',b'27/09/2015',b'14/10/2015',b'-',b'-',b'-',b'-'
b'54.',"b'The Statute Law (Miscellaneous Amendments) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'-',b'164',b'18/09/2015',b'01/10/2015',b'07/10/2015',b'29/10/201510/11/2015Committee StagePending',b'1/12/2015',b'-',b'Assented to'
b'55.',"b'The Statute Law (Miscellaneous Amendments)(No. 2) Bill, 2015'","b'Aden Duale, Leader of the Majority Party.'",b'NA Bill No. 58 of 2015',b'165',b'18/09/2015',b'01/10/2015',b'07/10/2015',b'-',b'-',b'-',b'-'
b'56.',"b'The National Government Constituencies Development Fund Bill, 2015'","b'Moses Lessonet, Member of Parliament'",b'-',b'168',b'09/10/2015',b'21/10/2015',b'22/10/2015',b'24/11/2015Committee StagePending',b'2/12/2015',b'-',b'Assented to'
b'57.',"b'The International Crimes (Repeal) Bill, 2015'","b'Bonface O Otsiulu, Member of Parliament'",b'NA Bill No. 61 of 2015',b'180',b'23/10/2015',b'05/11/2015',b'-',b'-',b'-',b'-',b'-'
b'58.',"b'The Election Laws (Amendment)(No.3) Bill, 2015'",b'Samuel Chepkonga',b'NA Bill No. 63 of 2015',b'189',b'27/11/2015',b'-',b'10/2/2016',b'-',b'-',b'-',b'-'
b'59.',"b'The Proceeds of Crime and Anti-Money Laundering (Amendment) Bill, 2015'","b'Aden Duale, Leader of the Majority Party'",b'NA Bill No. 64 of 2015',b'190',b'26/11/2015',b'-',b'16/12/2015',b'-',b'-',b'-',b'-'
b'60.',"b'The\xc2\xa0Constitution of Kenya (Amendment)(No. 6) Bill, 2015'","b'Aden Duale, Leader of the Majority Party'",b'NA Bill No. 65 of 2015',b'190A',b'02/12/2015',b'15/12/2015',b'17/12/2015',b'-',b'-',b'-',b'-'
b'61.',"b'The\xc2\xa0Kenya Uwezo Fund Bill, 2015'",b'David Kangogo Bowen',b'NA Bill No. 66 of 2015',b'193',b'04/12/2015',b'17/12/2015',b'10/2/2016',b'-',b'-',b'-',b'-'
b'62.',"b'The Universities (Amendment) Bill, 2015'","b'Aden Duale, Leader of the Majority Party'",b'NA Bill No. 4 of 2016',b'194',b'04/12/2015',b'17/12/2015',b'10/2/2016',b'-',b'-',b'-',b'-'
